Date,F,HMC,TM,TTM,PAG,GM,OSK,FCAU
2015-09-01,13.720000267028809,30.219999313354492,114.33999633789062,24.239999771118164,49.220001220703125,28.639999389648438,40.790000915527344,8.980262756347656
2015-09-02,13.869999885559082,30.809999465942383,117.62000274658203,24.40999984741211,49.810001373291016,29.209999084472656,40.86000061035156,9.078947067260742
2015-09-03,13.84000015258789,30.940000534057617,119.61000061035156,25.059999465942383,49.77000045776367,29.110000610351562,40.40999984741211,9.125
2015-09-04,13.5600004196167,30.100000381469727,116.5,24.149999618530273,49.61000061035156,28.8799991607666,39.599998474121094,8.947368621826172
2015-09-08,13.670000076293945,31.239999771118164,121.23999786376953,24.829999923706055,51.13999938964844,29.8799991607666,40.7599983215332,9.578947067260742
2015-09-09,13.529999732971191,31.06999969482422,120.62000274658203,25.31999969482422,50.93000030517578,29.6200008392334,39.81999969482422,9.480262756347656
2015-09-10,13.729999542236328,30.860000610351562,117.94000244140625,25.989999771118164,50.959999084472656,30.0,39.56999969482422,9.598684310913086
2015-09-11,13.710000038146973,30.739999771118164,117.0999984741211,25.700000762939453,51.0,30.149999618530273,39.27000045776367,9.585526466369629
2015-09-14,13.779999732971191,30.59000015258789,116.3499984741211,25.719999313354492,50.41999816894531,30.719999313354492,39.0099983215332,9.427631378173828
2015-09-15,14.3100004196167,31.149999618530273,119.95999908447266,25.350000381469727,50.9900016784668,30.989999771118164,39.58000183105469,9.75
2015-09-16,14.640000343322754,32.119998931884766,122.0,25.84000015258789,51.720001220703125,31.200000762939453,40.86000061035156,9.796052932739258
2015-09-17,14.600000381469727,31.899999618530273,121.23999786376953,25.790000915527344,52.58000183105469,31.309999465942383,39.70000076293945,9.947368621826172
2015-09-18,14.279999732971191,31.190000534057617,118.81999969482422,25.0,51.560001373291016,30.510000228881836,38.04999923706055,9.546052932739258
2015-09-21,14.319999694824219,31.360000610351562,119.43000030517578,25.059999465942383,51.91999816894531,30.6200008392334,37.779998779296875,9.296052932739258
2015-09-22,13.920000076293945,30.760000228881836,117.58000183105469,23.600000381469727,50.52000045776367,30.030000686645508,36.790000915527344,8.769737243652344
2015-09-23,13.680000305175781,30.770000457763672,117.51000213623047,23.209999084472656,50.689998626708984,29.719999313354492,35.90999984741211,9.0
2015-09-24,13.649999618530273,30.700000762939453,117.55000305175781,22.93000030517578,48.790000915527344,29.440000534057617,36.20000076293945,8.618420600891113
2015-09-25,13.529999732971191,30.540000915527344,118.51000213623047,22.8799991607666,49.2599983215332,29.40999984741211,36.13999938964844,8.539473533630371
2015-09-28,13.119999885559082,29.649999618530273,115.22000122070312,21.729999542236328,46.2599983215332,28.559999465942383,35.22999954223633,8.125
2015-09-29,13.149999618530273,29.479999542236328,114.25,21.809999465942383,47.189998626708984,29.149999618530273,35.68000030517578,8.0328950881958
2015-09-30,13.569999694824219,29.899999618530273,117.27999877929688,22.5,48.439998626708984,30.020000457763672,36.33000183105469,8.690789222717285
2015-10-01,13.670000076293945,30.010000228881836,118.33999633789062,22.329999923706055,48.79999923706055,30.670000076293945,35.849998474121094,8.894737243652344
2015-10-02,13.989999771118164,30.520000457763672,120.7300033569336,23.360000610351562,50.16999816894531,31.729999542236328,36.630001068115234,9.230262756347656
2015-10-05,14.1899995803833,30.850000381469727,122.31999969482422,24.65999984741211,51.220001220703125,31.760000228881836,39.029998779296875,9.355262756347656
2015-10-06,14.3100004196167,30.75,120.91999816894531,25.260000228881836,50.5,32.220001220703125,39.880001068115234,9.375
